Title	Author	Description	Content	Published At	URL
Joe Rogan endorsed Donald Trump, saying Elon Musk made a 'compelling case' for the former president	Erin Snodgrass	"Joe Rogan, who interviewed Donald Trump on his podcast, has been critical of Trump. But he said Elon Musk made a ""compelling case"" for Trump."	"Joe Rogan endorsed Donald Trump ahead of the election.Getty Images
Podcaster Joe Rogan endorsed Donald Trump in a Monday evening post.Rogan cited Elon Musk, saying the billionaire m… [+2133 chars]"	2024-11-05T02:52:54Z	https://www.businessinsider.com/joe-rogan-endorses-donald-trump-on-eve-of-election-2024-11
Trump praises Elon Musk in election night speech: 'A star is born'	Brent D. Griffiths	"Donald Trump called Tesla CEO Elon Musk ""an amazing guy"" as Trump neared the possibility of returning to the White House."	"Former President Donald Trump basked in the near inevitability of his return to the White House.Chip Somodevilla/Getty Images
Donald Trump proclaimed that Elon Musk is ""a new star.""… [+1795 chars]"	2024-11-06T08:05:03Z	https://www.businessinsider.com/trump-praises-elon-musk-a-star-is-born-2024-11
Mark Cuban praises Trump's 'great personality' but stands by assertion that he was a 'lousy president'	Lloyd Lee	"Mark Cuban told Business Insider that ""we all have friends"" like Donald Trump. He maintains that Trump would be a lousy president."	"""I truly don't hate him at all. I just think he was and would be a lousy president,"" billionaire Mark Cuban said of former President Donald Trump.Brian Fluharty via Getty Images; Kevin Dietsch via Ge… [+2078 chars]"	2024-10-26T02:48:21Z	https://www.businessinsider.com/mark-cuban-donald-trump-great-personality-lousy-president-fox-business-2024-10
What the Trump biopic 'The Apprentice' got right, and what's fiction	Eve Crosbie	The new Donald Trump biopic, which opened in US theaters on October 11, sees Marvel star Sebastian Stan portray a young Trump.	"Sebastian Stan transforms into Donald Trump in ""The Apprentice.""Briarcliff Entertainment
Warning: Spoilers ahead for ""The Apprentice,"" the new Donald Trump biopic.The controversial … [+8068 chars]"	2024-10-19T10:44:15Z	https://www.businessinsider.com/the-apprentice-donald-trump-biopic-fact-fiction-movie-2024-10
Ivanka Trump has been absent from the 2024 campaign trail. Here's what she's been up to.	Talia Lakritz	Ivanka Trump stepped back from politics when Donald Trump launched his 2024 campaign and has largely returned to her previous life as a socialite.	"Ivanka Trump is no longer active in politics.JB Lacroix/Contributor/Getty Images
Ivanka Trump stepped back from politics when Donald Trump launched his 2024 campaign.She returned to… [+9252 chars]"	2024-10-24T13:14:02Z	https://www.businessinsider.com/ivanka-trump-donald-trump-campaign-photos-2024-10
Tesla surges 13% as market sees Donald Trump's presidency benefiting key ally Elon Musk	kcloonan@insider.com (Kelly Cloonan)	Tesla stock soared 13% on Wednesday after the election result. CEO Elon Musk was among Trump's most vocal and high-powered backers during the campaign.	"Tesla investors are cheering the victory of Donald Trump over Kamala Harris on Wednesday, as Elon Musk and his companies could stand to benefit from a second Trump term. 
Tesla stock soared as much … [+1659 chars]"	2024-11-06T16:29:17Z	https://markets.businessinsider.com/news/stocks/tesla-stock-price-trump-win-elon-musk-election-tsla-2024-11
Trump wins the 2024 presidential election	John L. Dorman,Brent D. Griffiths,Joshua Nelken-Zitser	Former President Donald Trump campaigned largely on a message that he would be the best candidate for Americans' pocketbooks.	"Donald Trump, now the 2024 president-elect, never really stopped running for office after losing the 2020 election.AP Photo/Evan Vucci
Former President Donald Trump bested Vice President Kam… [+3091 chars]"	2024-11-06T10:32:19Z	https://www.businessinsider.com/donald-trump-wins-presidential-election-race-2024-11
Final polls show Harris and Trump headed for a photo finish	John L. Dorman	Final polling shows Kamala Harris and Donald Trump virtually tied a day before the election.	"Getty Images; Jenny Chang-Rodriguez/BI
The final polls of the 2024 presidential election season are out.They show that neither Harris nor Trump have broken out in the swing states.<… [+4260 chars]"	2024-11-04T10:02:01Z	https://www.businessinsider.com/kamala-harris-donald-trump-swing-state-polls-photo-finish-2024-11
'Adjourn, adjourn, adjourn' — Trump is expected to use new status as president-elect to delay hush-money sentencing	Laura Italiano,Natalie Musumeci	As president-elect,  Donald Trump will have even better chances to delay his upcoming criminal sentencing.	"President-elect Donald Trump speaks at an election night event at the Palm Beach Convention Center on November 06, 2024Chip Somodevilla/Getty Images
Trump will try to use his new status as p… [+6616 chars]"	2024-11-06T21:03:52Z	https://www.businessinsider.com/trump-can-use-new-status-president-elect-to-delay-sentencing-2024-11
Trump still has 4 criminal indictments waiting for him — here's what happens if he wins or loses	nmusumeci@businessinsider.com (Natalie Musumeci,Laura Italiano)	Not only is the presidency on the line for Donald Trump in the 2024 election, but so are the four criminal indictments against him.	"Not only is the presidency on the line for Donald Trump in the 2024 election, but so are his four criminal indictments.
Winning would largely free the former president for the foreseeable future fro… [+7399 chars]"	2024-11-05T22:00:29Z	https://www.businessinsider.com/donald-trump-election-criminal-cases-presidency-2024-11
